term,draft_count,draft_per10k,titlecase_share,kind
biochemically,7,1.2692886543726996,0.0,word
stool,7,1.2692886543726996,0.0,word
caregiver-succession,7,1.2692886543726996,0.0,word
trial-design,7,1.2692886543726996,0.14285714285714285,word
communication-adapted,7,1.2692886543726996,0.0,word
deferred,7,1.2692886543726996,0.14285714285714285,word
family-facing,7,1.2692886543726996,0.14285714285714285,word
levers,7,1.2692886543726996,0.42857142857142855,word
dyspraxia,7,1.2692886543726996,0.14285714285714285,word
syncope,7,1.2692886543726996,0.0,word
fine-motor,7,1.2692886543726996,0.0,word
owner,7,1.2692886543726996,0.0,word
neuroendocrine,7,1.2692886543726996,0.14285714285714285,word
disciplined,7,1.2692886543726996,0.0,word
costing,7,1.2692886543726996,0.14285714285714285,word
biomarker-informed,7,1.2692886543726996,0.14285714285714285,word
distinguishes,7,1.2692886543726996,0.0,word
transsulfuration,7,1.2692886543726996,0.0,word
primary-care,7,1.2692886543726996,0.0,word
presentation-driven,7,1.2692886543726996,0.0,word
unstratified,7,1.2692886543726996,0.0,word
purinergic,7,1.2692886543726996,0.14285714285714285,word
evidence-building,6,1.087961703748028,0.0,word
collapse,6,1.087961703748028,0.0,word
autism-adapted,6,1.087961703748028,0.16666666666666666,word
mismatch,6,1.087961703748028,0.0,word
phased,6,1.087961703748028,0.0,word
competing,6,1.087961703748028,0.0,word
immune-directed,6,1.087961703748028,0.5,word
microbiome-directed,6,1.087961703748028,0.0,word
motor-output,6,1.087961703748028,0.16666666666666666,word
birth-cohort,6,1.087961703748028,0.0,word
clinical-utility,6,1.087961703748028,0.0,word
parent-directed,6,1.087961703748028,0.0,word
domain-directed,6,1.087961703748028,0.0,word
irs,6,1.087961703748028,0.0,word
adrc,6,1.087961703748028,0.0,word
cognitive-change,6,1.087961703748028,0.0,word
palliative,6,1.087961703748028,0.16666666666666666,word
attestations,6,1.087961703748028,0.0,word
appropriation-dependent,6,1.087961703748028,0.16666666666666666,word
kpi,6,1.087961703748028,0.0,word
cofactor-support,6,1.087961703748028,0.0,word
epilepticus,6,1.087961703748028,0.0,word
communication-diverse,6,1.087961703748028,0.0,word
mechanism-directed,6,1.087961703748028,0.16666666666666666,word
concurrence,6,1.087961703748028,0.0,word
presyncope,6,1.087961703748028,0.0,word
quality-measure,6,1.087961703748028,0.0,word
cofactor,6,1.087961703748028,0.0,word
purinergic-signaling,6,1.087961703748028,0.16666666666666666,word
mtt,6,1.087961703748028,0.0,word
technology-assisted,5,0.9066347531233567,0.0,word
precision-trial,5,0.9066347531233567,0.4,word
modernization,5,0.9066347531233567,0.0,word
school-choice,5,0.9066347531233567,0.0,word
categorically,5,0.9066347531233567,0.0,word
cdes,5,0.9066347531233567,0.0,word
pupillometry,5,0.9066347531233567,0.0,word
extracellular,5,0.9066347531233567,0.2,word
implementation-burden,5,0.9066347531233567,0.2,word
sit,5,0.9066347531233567,0.0,word
compel,5,0.9066347531233567,0.0,word
implementation-to-validation,5,0.9066347531233567,0.8,name
interoceptive,5,0.9066347531233567,0.0,word
aging-in-autism,5,0.9066347531233567,0.0,word
accompaniment,5,0.9066347531233567,0.0,word
mistaken,5,0.9066347531233567,0.0,word
subgroup-stratified,5,0.9066347531233567,0.0,word
closed-loop,5,0.9066347531233567,0.2,word
predefined,5,0.9066347531233567,0.0,word
attribution,5,0.9066347531233567,0.0,word
tuchman,5,0.9066347531233567,1.0,name
post-illness,5,0.9066347531233567,0.0,word
dysmotility,5,0.9066347531233567,0.0,word
rescue-medication,5,0.9066347531233567,0.0,word
load,5,0.9066347531233567,0.0,word
subgroup-specific,5,0.9066347531233567,0.0,word
router,5,0.9066347531233567,0.0,word
diagnostic-access,5,0.9066347531233567,0.2,word
interpretability,5,0.9066347531233567,0.0,word
ethically,5,0.9066347531233567,0.0,word
misread,5,0.9066347531233567,0.0,word
standalone,5,0.9066347531233567,0.0,word
public-health,5,0.9066347531233567,0.0,word
substitution,5,0.9066347531233567,0.0,word
low-yield,5,0.9066347531233567,0.0,word
justified,5,0.9066347531233567,0.0,word
serial,5,0.9066347531233567,0.0,word
life-stage,5,0.9066347531233567,0.4,word
