doc_id,series,series_short,year,is_draft,n_words,n_sentences,words_per_sentence,sentence_len_sd,sentence_len_p90,letters_per_word,syllables_per_word,long_words_pct,polysyllable_pct,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog,coleman_liau,ari,mattr,types_per_10k,passive_per_100_sent,questions_per_100_sent,first_plural_per_1k,committee_per_1k,modals_per_1k,deontic_index,must_per_1k,should_per_1k,will_per_1k,may_might_per_1k,hedges_per_1k,boosters_per_1k,nominalisation_pct,acronyms_per_1k,numerals_per_1k,ref_markers_per_1k
USPSTF-2016,autism,USPSTF,2016,False,13693,836,16.379186602870814,12.286492264326366,33.0,5.6568319579347115,1.833783685094574,37.318337836850944,23.281968889213466,35.0720258390852,12.436530259235592,15.864462196833712,14.284906004393203,15.655000365150077,13.403271823307897,0.3583225708655449,1327.0,8.133971291866029,0.11961722488038277,0.3651500766815161,0.0,6.426641349594684,0.22727272727272727,0.0,1.3875702913897612,1.3145402760534581,1.3145402760534581,3.0672606441247354,1.4606003067260644,7.142335499890455,25.049295260352007,28.189585919813045,0.14606003067260645
IPA-2016,international-portfolio-analysis,IPA,2016,False,14291,900,15.87888888888889,16.606484640006308,35.0,5.750542299349241,1.8622209782380519,41.571618501154575,22.839549366734307,33.1740330188386,12.57697420987568,15.48737530224928,14.008344973802181,16.14907844097683,13.594498674379366,0.4282470997679814,1420.0,11.333333333333334,0.5555555555555556,0.4898187670561892,0.0699741095794556,2.5190679448604016,0.08333333333333333,0.0,0.1399482191589112,0.9096634245329228,0.7697152053740116,1.5394304107480232,0.9796375341123784,9.530473724721853,37.57609684416766,46.60275697991743,0.0699741095794556
PA-2016,portfolio-analysis,PA,2016,False,17834,1749,10.19668381932533,12.064159071996606,28.0,5.853033531456768,1.8999663563978917,43.714253672759895,23.118761915442413,35.748212172123175,10.806309695032002,13.326178293907098,11.900253237064199,15.712932600650447,11.236129842824049,0.4378307470435535,1293.0,9.033733562035449,1.486563750714694,0.336436021083324,0.728944712347202,3.700796231916564,0.07575757575757576,0.0,0.0,0.616799371986094,1.233598743972188,2.52327015812493,0.616799371986094,9.487495794549737,42.89559268812381,79.95962767747001,0.0
SOA-2016,summary-of-advances,SOA,2016,False,12627,766,16.48433420365535,13.015922765768229,34.0,5.603547952799556,1.816504316147937,37.41189514532351,22.372693434703415,36.42713563717436,12.273641269971247,15.542811055343506,14.099937366381027,15.35321770808584,13.204877959513588,0.4514833443271768,1769.0,16.057441253263708,3.3942558746736293,0.15839074998020117,0.15839074998020117,8.31551437396056,0.047619047619047616,0.0,0.23758612497030174,0.39597687495050293,4.03896412449513,9.66183574879227,1.1087352498614083,7.761146749029857,47.75481111903065,33.42044824582245,0.0
RTC-2017,report-to-congress,RTC,2017,False,28343,1324,21.407099697885197,21.769313286224868,44.0,5.788201672370603,1.9008573545496243,39.60766326782627,24.524573968881207,24.29426161174831,15.188885665860798,18.37266946670656,16.218646115125612,16.8519069964365,16.53597972580814,0.46042084470622036,1734.0,18.429003021148038,0.3021148036253776,0.0,0.10584624069435135,6.562466923049784,0.2849462365591398,0.5997953639346576,0.7409236848604595,0.705641604629009,2.681438097590234,5.609850756800621,1.1643086476378648,8.739371273330276,37.928236248809235,22.545249267896835,0.03528208023145045
SP-2017,strategic-plan,SP,2017,False,48337,1673,28.89240884638374,23.489752233844044,54.0,5.760204398287026,1.8958148002565323,39.37149595547924,24.962244243540145,17.123272919217897,18.048654093116742,21.541861235969556,18.470981565119676,17.04551130603885,20.146767139123767,0.5019644215895314,1938.25,34.96712492528392,0.8965929468021518,1.1999089724227818,0.33100937170283634,13.467943811159154,0.20430107526881722,0.5999544862113909,1.1999089724227818,3.1652771169083724,3.1859652026398,8.751060264393736,3.1239009454455178,7.776651426443511,26.997951879512588,21.122535531787243,0.04137617146285454
SOA-2017,summary-of-advances,SOA,2017,False,11799,645,18.293023255813953,14.303770772135044,36.0,5.433087549792355,1.7665903890160184,34.282566319179594,21.501822188321043,38.81403448459372,12.39004566015646,15.917938177653998,14.458980052321824,14.528451563691839,13.30635398742897,0.4566706194690266,1748.0,19.689922480620154,6.2015503875969,0.0,0.25425883549453343,7.204000339011781,0.047058823529411764,0.0,0.25425883549453343,0.5932706161539114,2.796847190439868,10.085600474616493,1.5255530129672006,6.170014408000678,55.34367319264344,39.579625391982376,0.0
PA-2018,portfolio-analysis,PA,2018,False,21329,1405,15.180782918149466,15.654910230776105,33.0,5.78911341366215,1.877162548642693,43.574476065450796,22.288902433306767,32.61855372290648,12.481023412062072,14.987874140582495,13.637494352701374,16.290153312391578,13.427115637423462,0.40840451272203554,1396.5,13.87900355871886,1.4234875444839858,0.32819166393173616,0.46884523418819446,4.26649163111257,0.054945054945054944,0.0,0.0,0.7970368981199306,1.781611889915139,3.563223779830278,0.6563833278634723,9.090909090909092,32.3034366355666,98.97322893712786,0.0
RTC-2018,report-to-congress,RTC,2018,False,46900,2540,18.46456692913386,16.18716575094819,39.0,5.795202558635395,1.9036673773987207,39.94243070362474,24.55223880597015,27.04320443899738,14.07445615566711,17.206722294041604,15.292641707499453,16.67272068230277,15.097687515739636,0.45508954548393354,1853.25,13.228346456692913,0.5905511811023622,0.2771855010660981,0.021321961620469083,4.157782515991471,0.07692307692307693,0.08528784648187633,0.1279317697228145,1.4285714285714286,1.236673773987207,3.4968017057569294,1.300639658848614,8.886993603411513,58.486140724946694,43.027718550106606,0.3411513859275053
SOA-2018,summary-of-advances,SOA,2018,False,10161,644,15.777950310559007,11.657858417373172,31.0,5.602302922940655,1.8303316602696584,37.771872847160715,23.846078141915164,35.9743219759695,12.161314212299985,15.84961138098967,14.210093730943871,15.265505363645307,12.84582192232999,0.46467108259159595,1949.0,18.167701863354036,4.813664596273292,0.0,0.29524653085326247,6.298592658202932,0.125,0.0,0.29524653085326247,0.8857395925597874,2.3619722468260997,7.676409802184824,0.9841551028442082,7.243381556933373,50.97923432732998,26.965849817931304,0.09841551028442082
