,SOA-2007,PA-2008,SOA-2008,PA-2009,RTC-2009,SP-2009,SOA-2009,PA-2010,SP-2010,SOA-2010,SP-2011,SOA-2011,PA-2012,PUBA-2012,RTC-2012,SP-2012,SOA-2012,PA-2013,SP-2013,SOA-2013,SOA-2014,PA-2015,SOA-2015,USPSTF-2016,IPA-2016,PA-2016,SOA-2016,RTC-2017,SP-2017,SOA-2017,PA-2018,RTC-2018,SOA-2018,SP-2019,SOA-2019,PA-2020,SOA-2020,RTC-2021,SOA-2021,PA-2022,RTC-2022,SOA-2022,RTC-2023,SP-2023,SOA-2023,SP-2026-DRAFT
SOA-2011,0.7403200800498131,1.3809778610527392,0.6223539349236934,1.2326481028601106,1.0755073433919498,1.1077865327697707,0.7439268181516687,1.0907309852367628,1.106808034016165,0.5964809452345787,0.8906261384061065,0.0,1.1000036388884762,0.9989108689837324,1.0931561837513442,0.7536860422984656,0.6295333842054917,1.1669336672771229,0.9532020667668829,0.6395848271233469,0.6398166750843489,1.1908025437263223,0.825888392368074,1.2445858305037272,1.1274252312968653,1.1511207713512182,0.7317441155783296,1.3122853243810892,0.9729644721766073,0.6613411809049426,1.1438207038650132,1.0141327052574496,0.7239022621917592,1.0590732767970201,0.8252186649768377,1.1621203728924676,0.7418686177094074,1.1690930696663817,0.746246922752147,1.1698094052079566,1.27528611788461,0.8426587821996683,1.1469129346708045,1.062709139217812,0.8279370436397703,1.2675764712149011
PA-2012,1.2491649189033305,1.229932948646647,1.2112530047574437,0.8372247949975551,1.162775124797643,1.099094059036117,1.2235773526110618,0.6316464837709893,1.0370030421962588,1.1096949643957061,0.8569011347759861,1.1000036388884762,0.0,0.8976571233971631,1.172315936675323,0.7638302765696071,1.0160778069467409,0.5100496674550314,0.548958591926407,1.0602839298601203,1.0799271004162616,0.5521191072327126,1.0969993826144446,1.4484298777114144,0.9340724761630554,0.6481676371180515,1.0856247436639503,1.3240919274571472,0.9288149031777082,1.1159837707038462,0.6189645445663435,1.0538917324039074,1.089621503705448,0.9909137977003994,1.1581836385439774,0.7552300215614774,1.159052346203603,1.2426284285682654,1.1963727322238031,0.7347114617866829,1.3255941800488555,1.2543819640329172,1.1883635905922585,1.100675995726692,1.1912360222537028,1.2860224441148527
PUBA-2012,1.0272017868090884,1.2345004981828795,1.0226379993222663,1.1263989795080505,1.2603197335685579,1.2003988288678784,1.0133252848322882,0.9742835369207671,1.2233396432868284,1.0093589417640219,1.005554901451404,0.9989108689837324,0.8976571233971631,0.0,1.2614328325783994,0.8236155565161433,0.9653905757145615,0.9084561841517367,0.9679290128276947,0.9877482853863152,0.9984684878295149,0.9526746215905477,1.0433493947399697,1.229240896346411,0.8350568990080753,0.8821522646596268,1.02013200008398,1.3695987290616294,1.0385015997996283,0.9992578100832045,0.8557488826091215,1.1755470309453333,1.0209225082752675,1.0987104559298746,1.1157652450082178,0.8879003072039734,1.1570235068062518,1.3692934966123207,1.1772178306546413,0.8421761327546325,1.3689825289379667,1.2176706967644921,1.2864141657923618,1.1685598427218697,1.0899916233751845,1.2385962863960767
RTC-2012,1.2311957721779727,1.5395917064021294,1.2225618524147062,1.384310665178714,0.4195071692491793,1.2539601791828707,1.3457038757671058,1.1745305078431683,1.2784142518121762,1.093001564918466,1.0599716303636668,1.0931561837513442,1.172315936675323,1.2614328325783994,0.0,1.0274082882506232,1.0749575396347486,1.1768236321476753,1.148942619109818,1.106271077157276,1.1512527902699745,1.2328201649309254,1.1554515560552079,1.4286599009882972,0.9727084362646748,1.0837572238329016,1.1220587504464985,0.8924606281106044,1.0810474264081578,1.2196776467859713,1.088383112800392,0.43573810177319267,1.1897831906182754,0.767398564101176,1.113965963578276,1.1127760640389674,0.9712345941424287,0.6224126490273124,1.102409861417663,1.079733419639936,0.8580479577027901,1.1885868305056813,0.5720520204771743,1.1810602046798477,1.1337933559148659,1.3309611126873844
SP-2012,0.9145470960331412,1.3278856149631502,0.8829563737320933,1.0774211725722322,1.0153338154320215,0.8349618596592656,0.8886418237907028,0.864808263799415,0.8094696172890011,0.7709080299535268,0.5730532483533758,0.7536860422984656,0.7638302765696071,0.8236155565161433,1.0274082882506232,0.0,0.6886404756755105,0.901182370272274,0.5707933677768484,0.719539873354244,0.7479783817542538,0.9546975009225129,0.7840013584149105,1.1719830882083269,0.9898678846079305,0.9231065302793033,0.7784362026852206,1.2518875236909488,0.5911260620928714,0.783955663721241,0.918894479104516,0.8954157444160828,0.755176641008315,0.924790487218169,0.8618136354724857,0.9928253276597944,0.8654838834401505,1.1537663707055026,0.9391609011052884,0.9798272334356034,1.1914364469414673,1.0206845659980066,1.1195329357410362,0.842853945663419,0.9303613587445612,1.15780317139236
SOA-2012,0.722570945025111,1.392952179691721,0.776141704182568,1.1776286694381082,1.1015622399873974,1.0538184682790581,0.8683516991752075,1.0741382629640202,1.0782586272981154,0.6303321294372918,0.8664679137273773,0.6295333842054917,1.0160778069467409,0.9653905757145615,1.0749575396347486,0.6886404756755105,0.0,1.063174168899578,0.9002619727783917,0.5281801642046369,0.6389885660885417,1.1137822923068634,0.6714423979959083,1.2989807870042476,1.1529751793427174,1.058474312824729,0.6769733220782871,1.196650675526505,0.8731986677876301,0.6488521532884974,1.0445534220056814,0.9503368438981035,0.7047189430283322,1.029489684072125,0.7084117651052781,1.1371862823669314,0.8054366426990234,1.1061249241221773,0.7864181561325646,1.1121619028438918,1.1974652117209652,0.8656016704422219,1.122333501107326,1.0875855147394367,0.7762531155313042,1.2840265739861803
PA-2013,1.3149812187418588,1.1687667547364493,1.2746865371471208,0.6639907295882476,1.2079437453860664,1.1505453896776185,1.3591710350552944,0.5089624480982461,1.0821987023869735,1.1559180497932708,0.9458669496979676,1.1669336672771229,0.5100496674550314,0.9084561841517367,1.1768236321476753,0.901182370272274,1.063174168899578,0.0,0.863341122700361,1.1649964163323674,1.1534384288856643,0.2241804939033369,1.1788642611001392,1.465644940555145,0.9009167796835311,0.4951268433767738,1.2261282788762247,1.3510384732602971,1.1187825770186342,1.1825819043613084,0.5527529065006641,1.0712518629988677,1.1748210413847542,1.0267706380425,1.1959036839825201,0.6715790293777723,1.2399691860087894,1.2834580341937392,1.2427814946645899,0.6709220999922998,1.3924732365058246,1.2672049293238725,1.2098704412494476,1.295517432618969,1.1966808226165786,1.3416014331315118
SP-2013,1.145252131135778,1.4409968750374114,1.1106692658682462,1.0620468105459004,1.0910811610887654,0.8612502635191731,1.0544728985882839,0.8201367408994638,0.8045123750011984,0.9468995305072474,0.6310509825804779,0.9532020667668829,0.548958591926407,0.9679290128276947,1.148942619109818,0.5707933677768484,0.9002619727783917,0.863341122700361,0.0,0.8841293719131365,0.9263493384109955,0.9074328072747306,0.9784131012187754,1.3161263231650056,1.0946691604680312,0.9498769569241692,0.9490321274146645,1.2966346241799864,0.5666507301839002,0.9899256212885015,0.8894595117426772,1.031774633965457,0.9055017036906886,0.9865437113599185,1.0282858574244775,0.9928864564464377,1.040790781726439,1.19700134045231,1.0881006068118504,0.9871726077027296,1.2269483366780958,1.1741581376636752,1.1566550836893272,0.829541901868375,1.0904307517134528,1.2341307692068277
SOA-2013,0.6644730505012089,1.433925950614354,0.7046737564147003,1.2706225688875217,1.1325468401780987,1.0949235692076205,0.7637559653232809,1.0866456868087515,1.0971520085424258,0.585000266489244,0.8596790794188051,0.6395848271233469,1.0602839298601203,0.9877482853863152,1.106271077157276,0.719539873354244,0.5281801642046369,1.1649964163323674,0.8841293719131365,0.0,0.5864314967133518,1.199471656949032,0.6423632424349415,1.326784234391409,1.1875863517012129,1.1608859713345134,0.5489322392438305,1.3414702801160237,0.8545843591573157,0.5840087796471157,1.1357804823778612,0.9754898803030206,0.6518931990541351,1.1326455059754146,0.7131068063350834,1.2209479454647474,0.7985286835184775,1.2025230413526082,0.7997580521218243,1.195690249089835,1.2604380158325528,0.8369361040150065,1.1704225963876713,1.0886502381364598,0.7470694803611952,1.2725322607952534
SOA-2014,0.8153540548945368,1.4091396830023264,0.7419111293502874,1.2843706504790309,1.1088001850601914,1.0369896662618883,0.7256003312502709,1.1054147101551224,1.0272644554461687,0.6916513272289105,0.8102378637342048,0.6398166750843489,1.0799271004162616,0.9984684878295149,1.1512527902699745,0.7479783817542538,0.6389885660885417,1.1534384288856643,0.9263493384109955,0.5864314967133518,0.0,1.2143645706103543,0.6653975121638634,1.3287482482177397,1.1738533526659565,1.216488332078862,0.6807012863575364,1.3261481995169446,0.9077778871099644,0.6458375962009417,1.2182049155731316,1.0251865779836287,0.6761176375072828,1.079669744288276,0.7074342469088456,1.2648907630249429,0.8562690730462916,1.265600653983904,0.7609436688836213,1.23446560966635,1.2665898405635023,0.9182896629534473,1.195493376870168,1.0280196036185507,0.8896832268354179,1.3054556993172965
PA-2015,1.3434987786880996,1.170664686124457,1.3008934689304423,0.7194124796996243,1.2311680569255332,1.2191450924630083,1.3892262650737754,0.6100668111102442,1.1640722768077612,1.1956325194365296,1.0209604617961567,1.1908025437263223,0.5521191072327126,0.9526746215905477,1.2328201649309254,0.9546975009225129,1.1137822923068634,0.2241804939033369,0.9074328072747306,1.199471656949032,1.2143645706103543,0.0,1.2355434845434172,1.470036818790718,0.924200422970104,0.5295750455520417,1.2615112378654016,1.4237789443300815,1.181800703035029,1.2285201993390278,0.6104442810290197,1.1292290060038377,1.2213360594231795,1.0788920041217764,1.247104805276564,0.6731423757684775,1.2731612957472378,1.3388592668992239,1.2841261633561714,0.6801276214878946,1.45370831496553,1.3168498000819924,1.2728048510646253,1.3576364954163012,1.251403435367886,1.3303661367120798
