term,target_count,reference_count,target_per10k,reference_per10k,log_odds,z,g2
quality measures,24,1,4.351925727134256,0.0677359921968137,4.0876722399537595,4.136403850461138,54.738446552990276
supported employment,15,5,2.7199535794589105,0.3386799609840685,2.0528926590310146,4.024215692053197,19.743618798581533
epileptiform activities,21,1,3.807935011242475,0.0677359921968137,3.9851312259573524,3.9590695337676656,47.18712137302648
aggression self-injury,14,3,2.5386233408283165,0.2032079765904411,2.5049127170393533,3.9572661812803243,22.519251685475382
responsible agencies,14,2,2.5386233408283165,0.1354719843936274,2.9086293337501843,3.8698714766440423,25.671783348568393
nih cdc,19,1,3.4452745339812867,0.0677359921968137,3.8837156935931985,3.8516974413299288,42.174032533713515
civil rights,13,3,2.3572931021977226,0.2032079765904411,2.414461302054587,3.8237282829634616,20.316542002056348
creating additional,18,1,3.2639442953506927,0.0677359921968137,3.8356321574054597,3.7873239699308185,39.675142009055506
caregivers support,17,10,3.082614056720099,0.677359921968137,1.5016989782006682,3.7784299586368593,15.025183612634901
cdc nih,13,2,2.3572931021977226,0.1354719843936274,2.831955997202547,3.755033981251189,23.3439921575177
care coordination,16,9,2.9012838180895044,0.6096239297713233,1.5440895629101838,3.723699309619771,14.70950883158475
nih support,13,5,2.3572931021977226,0.3386799609840685,1.920137157245719,3.6712090581569647,15.758299048552699
medication use,13,5,2.3572931021977226,0.3386799609840685,1.9228733338988686,3.669638210126991,15.758299048552699
meaningful outcomes,12,3,2.175962863567128,0.2032079765904411,2.351546646031416,3.6604508748587055,18.142749047144992
communication adaptive,12,2,2.175962863567128,0.1354719843936274,2.7527632088373206,3.628466591293912,21.036766927838705
medical evaluation,15,1,2.7199535794589105,0.0677359921968137,3.6348182965063263,3.6038310219128062,32.21649985122131
contributing factors,14,7,2.5386233408283165,0.4741519453776959,1.6640735996157154,3.603095662263595,14.168823007274565
cdc hrsa,15,1,2.7199535794589105,0.0677359921968137,3.636248561058146,3.602646508224164,32.21649985122131
adverse events,12,4,2.175962863567128,0.2709439687872548,2.0655939902201172,3.5927225347878675,15.794895038865224
months launch,15,1,2.7199535794589105,0.0677359921968137,3.6579894572830245,3.584629769395246,32.21649985122131
pediatrics adults,11,3,1.9946326249365345,0.2032079765904411,2.2605419694882833,3.495720323505195,16.002383923206093
function communication,11,3,1.9946326249365345,0.2032079765904411,2.2655465913033765,3.4932677158776113,16.002383923206093
federal policy,13,1,2.3572931021977226,0.0677359921968137,3.499302870872304,3.439859591586261,27.28450632574051
support needs,47,65,8.52252121563792,4.40283949279289,0.6514449887192653,3.4121194149226346,11.299846564762344
transition planning,10,2,1.8133023863059405,0.1354719843936274,2.5344972115281212,3.359638514132798,16.498150158262643
hhs office,10,2,1.8133023863059405,0.1354719843936274,2.563971921388248,3.344575120794071,16.498150158262643
supported living,12,1,2.175962863567128,0.0677359921968137,3.4366645718544326,3.3387708467765327,24.834302227449747
federal guidance,12,1,2.175962863567128,0.0677359921968137,3.4395560580285167,3.3366820210110593,24.834302227449747
community participation,18,15,3.2639442953506927,1.0160398829522055,1.1549006373830277,3.3138077295417485,10.923000980929388
technical assistance,15,11,2.7199535794589105,0.7450959141649507,1.276828183752583,3.2546427171521763,10.619994121106062
current state,13,8,2.3572931021977226,0.5418879375745096,1.4567722788982103,3.250542032836212,11.022819231096635
seizures sleep,11,1,1.9946326249365345,0.0677359921968137,3.351250932437031,3.24189783606676,22.396959998759737
federally funded,10,4,1.8133023863059405,0.2709439687872548,1.8824761473993021,3.1984135272933734,11.829666517419692
vocational rehabilitation,12,7,2.175962863567128,0.4741519453776959,1.5038514034820931,3.190616720716389,10.685833880158158
gastrointestinal symptoms,14,10,2.5386233408283165,0.677359921968137,1.3085292257128405,3.1682607383471666,10.205535048192871
coordinated federal,10,1,1.8133023863059405,0.0677359921968137,3.2547104707011343,3.137526742954487,19.974827115994252
mitochondrial function,10,1,1.8133023863059405,0.0677359921968137,3.2575483157979725,3.1357161117151384,19.974827115994252
birth cohort,11,6,1.9946326249365345,0.4064159531808822,1.5764874267591953,3.115725190095669,10.380569093379394
immune biomarkers,9,3,1.6319721476753464,0.2032079765904411,2.067944392874068,3.110254050288826,11.846171279148919
older autistic,12,8,2.175962863567128,0.5418879375745096,1.3770982102878975,3.0249815786657006,9.408344639802705
cdc support,9,1,1.6319721476753464,0.0677359921968137,3.142638367647642,3.0248356536074463,17.570959455418425
clinical utility,9,1,1.6319721476753464,0.0677359921968137,3.144025981535444,3.024016913417937,17.570959455418425
evaluation treatment,9,1,1.6319721476753464,0.0677359921968137,3.1524028803615174,3.019069773316942,17.570959455418425
seizures activities,9,1,1.6319721476753464,0.0677359921968137,3.1538076389344543,3.018239416833651,17.570959455418425
metabolic mitochondrial,9,1,1.6319721476753464,0.0677359921968137,3.155214878193437,3.017407379317947,17.570959455418425
adults geriatric,9,1,1.6319721476753464,0.0677359921968137,3.1566246061123646,3.0165736553061624,17.570959455418425
hrsa cdc,8,2,1.4506419090447522,0.1354719843936274,2.3520797771266615,2.9884086297959667,12.095166031429995
ensure autistic,8,2,1.4506419090447522,0.1354719843936274,2.3526781571969586,2.9881535322709127,12.095166031429995
school work,11,7,1.9946326249365345,0.4741519453776959,1.4228639577991977,2.9524853177221786,9.032865876443003
autism population,11,7,1.9946326249365345,0.4741519453776959,1.4236112219752766,2.9514184148681757,9.032865876443003
million years,11,7,1.9946326249365345,0.4741519453776959,1.4236112219752766,2.9514184148681757,9.032865876443003
suicide prevention,8,1,1.4506419090447522,0.0677359921968137,3.0212030960655714,2.895664192525884,15.189438863642712
medicaid chip,8,3,1.4506419090447522,0.2032079765904411,1.9444459111420116,2.8912943858826723,9.847054812892104
mitochondrial dysfunction,8,1,1.4506419090447522,0.0677359921968137,3.034893072319342,2.8882819778818427,15.189438863642712
motor impairment,8,1,1.4506419090447522,0.0677359921968137,3.0362754943033003,2.8875353055816126,15.189438863642712
sleep gastrointestinal,8,1,1.4506419090447522,0.0677359921968137,3.0362754943033003,2.8875353055816126,15.189438863642712
federal planning,8,1,1.4506419090447522,0.0677359921968137,3.0376603884690248,2.886787076259215,15.189438863642712
development validation,8,1,1.4506419090447522,0.0677359921968137,3.0376603884690248,2.886787076259215,15.189438863642712
needs communication,8,1,1.4506419090447522,0.0677359921968137,3.0404376252600187,2.8852859257121453,15.189438863642712
motor speech,8,1,1.4506419090447522,0.0677359921968137,3.0404376252600187,2.8852859257121453,15.189438863642712
objectives ensure,8,1,1.4506419090447522,0.0677359921968137,3.0404376252600187,2.8852859257121453,15.189438863642712
intellectual disabilities,59,99,10.698484079205048,6.705863227484556,0.4605168072762549,2.812517519858003,7.696049426648518
autistic person,9,5,1.6319721476753464,0.3386799609840685,1.558111471794419,2.802166206874791,8.362626863918969
outcomes measures,28,37,5.077246681656633,2.5062317112821066,0.6965285959190597,2.788497654330402,7.546221178023366
autism projects,7,2,1.2693116704141583,0.1354719843936274,2.1965878443387137,2.7883232087037744,9.96430058472587
customized employment,7,2,1.2693116704141583,0.1354719843936274,2.2121139327664103,2.7822846963638064,9.96430058472587
adverse effects,7,2,1.2693116704141583,0.1354719843936274,2.217767040461908,2.7800887777799455,9.96430058472587
individuals limited,7,2,1.2693116704141583,0.1354719843936274,2.2189046424103616,2.7796470352126086,9.96430058472587
true increase,7,2,1.2693116704141583,0.1354719843936274,2.221186890197325,2.7787609597689826,9.96430058472587
microbiome function,7,2,1.2693116704141583,0.1354719843936274,2.221186890197325,2.7787609597689826,9.96430058472587
agencies support,7,1,1.2693116704141583,0.0677359921968137,2.8896438362318637,2.7454436512103637,12.835891674284197
case definition,7,1,1.2693116704141583,0.0677359921968137,2.894985949068598,2.742859364361725,12.835891674284197
idea section,7,1,1.2693116704141583,0.0677359921968137,2.9057864905546538,2.737624156432852,12.835891674284197
care model,7,1,1.2693116704141583,0.0677359921968137,2.907147615717337,2.7369634146457225,12.835891674284197
rely existing,7,1,1.2693116704141583,0.0677359921968137,2.9085112246665936,2.736301247489944,12.835891674284197
clinical response,7,1,1.2693116704141583,0.0677359921968137,2.9085112246665936,2.736301247489944,12.835891674284197
meaningful subgroups,8,4,1.4506419090447522,0.2709439687872548,1.6643302737472556,2.723322400911964,8.09647028987118
