term,target_count,reference_count,target_per10k,reference_per10k,log_odds,z,g2
craig,0,8,0.0,0.541858574911948,-4.828880690601691,-0.750637271605101,5.078226423247845
permanente,0,8,0.0,0.541858574911948,-4.828880690601691,-0.750637271605101,5.078226423247845
trios,1,6,0.18132695062467136,0.406393931183961,-0.8062468013788209,-0.7511989302786337,0.6712961942900462
enormous,1,6,0.18132695062467136,0.406393931183961,-0.8062468013788209,-0.7511989302786337,0.6712961942900462
lifetime,3,13,0.543980851874014,0.8805201842319155,-0.4773038993780805,-0.7516742309401405,0.6224003507890239
possess,1,6,0.18132695062467136,0.406393931183961,-0.8075720381146656,-0.7519061364152623,0.6712961942900462
query,1,6,0.18132695062467136,0.406393931183961,-0.8088997472222701,-0.7526133768396218,0.6712961942900462
gained,0,6,0.0,0.406393931183961,-4.3068749132942195,-0.7527129065785392,3.8086698174358835
sib,0,6,0.0,0.406393931183961,-4.3068749132942195,-0.7527129065785392,3.8086698174358835
lord,0,6,0.0,0.406393931183961,-4.3068749132942195,-0.7527129065785392,3.8086698174358835
maine,0,6,0.0,0.406393931183961,-4.3068749132942195,-0.7527129065785392,3.8086698174358835
near,0,6,0.0,0.406393931183961,-4.3068749132942195,-0.7527129065785392,3.8086698174358835
productive,0,9,0.0,0.6095908967759415,-5.015148614051796,-0.7533503612381037,5.713004726153825
financial,14,47,2.538577308745399,3.1834191276076944,-0.22815817708965014,-0.7536111163135751,0.5750162578962987
way,9,32,1.6319425556220422,2.167434299647792,-0.2825411301923513,-0.7543524705621175,0.5954298904995841
symptoms,114,330,20.671272371212535,22.351666215117856,-0.08158211472758836,-0.7547730791964216,0.5240776467252903
depending,3,13,0.543980851874014,0.8805201842319155,-0.48013910764576373,-0.7549440580263453,0.6224003507890239
false,0,5,0.0,0.3386616093199675,-3.9357928504472888,-0.7559496601874185,3.173891514529903
gray,0,7,0.0,0.4741262530479545,-4.571070749222526,-0.7561156105995247,4.4434481203418645
mobile,3,13,0.543980851874014,0.8805201842319155,-0.48176505700380545,-0.7568140774968936,0.6224003507890239
boxes,0,12,0.0,0.812787862367922,-5.456105773015976,-0.7591302605139756,7.617339634871767
parent-report,0,12,0.0,0.812787862367922,-5.456105773015976,-0.7591302605139756,7.617339634871767
in-service,0,6,0.0,0.406393931183961,-4.25584949311467,-0.763016615198669,3.8086698174358835
cnvs,0,6,0.0,0.406393931183961,-4.25584949311467,-0.763016615198669,3.8086698174358835
jones,0,5,0.0,0.3386616093199675,-3.893553941163235,-0.7638005031561867,3.173891514529903
francis,0,5,0.0,0.3386616093199675,-3.893553941163235,-0.7638005031561867,3.173891514529903
regularly,0,5,0.0,0.3386616093199675,-3.893553941163235,-0.7638005031561867,3.173891514529903
brought,0,8,0.0,0.541858574911948,-4.764543495408391,-0.7648492727711345,5.078226423247845
placebo-controlled,0,8,0.0,0.541858574911948,-4.764543495408391,-0.7648492727711345,5.078226423247845
crime,0,7,0.0,0.4741262530479545,-4.514142216434829,-0.7682591980660717,4.4434481203418645
diego,0,7,0.0,0.4741262530479545,-4.514142216434829,-0.7682591980660717,4.4434481203418645
strides,0,9,0.0,0.6095908967759415,-4.94633479111098,-0.7690235353693133,5.713004726153825
pose,0,9,0.0,0.6095908967759415,-4.94633479111098,-0.7690235353693133,5.713004726153825
sarah,0,9,0.0,0.6095908967759415,-4.94633479111098,-0.7690235353693133,5.713004726153825
intense,0,9,0.0,0.6095908967759415,-4.94633479111098,-0.7690235353693133,5.713004726153825
par,0,9,0.0,0.6095908967759415,-4.94633479111098,-0.7690235353693133,5.713004726153825
web,2,10,0.3626539012493427,0.677323218639935,-0.5778269259403555,-0.769948205009274,0.7428236820522685
mentoring,0,5,0.0,0.3386616093199675,-3.853052548947433,-0.7713198770899014,3.173891514529903
tepper,0,5,0.0,0.3386616093199675,-3.853052548947433,-0.7713198770899014,3.173891514529903
usually,0,6,0.0,0.406393931183961,-4.207327131406274,-0.7728427610135403,3.8086698174358835
interestingly,0,6,0.0,0.406393931183961,-4.207327131406274,-0.7728427610135403,3.8086698174358835
melissa,0,6,0.0,0.406393931183961,-4.207327131406274,-0.7728427610135403,3.8086698174358835
usage,0,6,0.0,0.406393931183961,-4.207327131406274,-0.7728427610135403,3.8086698174358835
francisco,0,8,0.0,0.541858574911948,-4.704120159005042,-0.7783125171148083,5.078226423247845
decided,0,8,0.0,0.541858574911948,-4.704120159005042,-0.7783125171148083,5.078226423247845
electroencephalography,0,8,0.0,0.541858574911948,-4.704120159005042,-0.7783125171148083,5.078226423247845
wit,0,12,0.0,0.812787862367922,-5.3761974706379405,-0.7785037273783778,7.617339634871767
