doc_id,series,series_short,year,variant,is_draft,file_name,path,source_url,bytes,backend,error,n_pages,n_pages_kept,ref_cut_page,ref_cut_status,ref_pages_dropped,running_lines_removed,words_raw,n_words,pdf_title,in_analysis
RTC-2017,report-to-congress,RTC,2017,full,False,report_to_congress_2017.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/report-to-congress/2017/report_to_congress_2017.pdf,https://iacc.hhs.gov/publications/report-to-congress/2017/report_to_congress_2017.pdf,2053539,pymupdf (cached),,88,75,76.0,verified,13,101,32759,28343,Young Adults and Transitioning Youth With Autism Spectrum Disorder,True
RTC-2018,report-to-congress,RTC,2018,full,False,report_to_congress_2018.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/report-to-congress/2018/report_to_congress_2018.pdf,https://iacc.hhs.gov/publications/report-to-congress/2018/report_to_congress_2018.pdf,2250485,pymupdf (cached),,148,141,,no_heading,7,67,50743,46900,Report to Congress on Activities Related to Autism Spectrum Disorder and Other Developmental Disabilities,True
RTC-2021,report-to-congress,RTC,2021,full,False,report_to_congress_2021.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/report-to-congress/2021/report_to_congress_2021.pdf,https://iacc.hhs.gov/publications/report-to-congress/2021/report_to_congress_2021.pdf?ver=2,7071806,pymupdf (cached),,116,77,78.0,verified,39,74,48795,36964,2021 Report to Congress on the Health and Well-Being of Individuals with ASD,True
RTC-2022,report-to-congress,RTC,2022,full,False,report_to_congress_2022.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/report-to-congress/2022/report_to_congress_2022.pdf,https://iacc.hhs.gov/publications/report-to-congress/2022/report_to_congress_2022.pdf?ver=3,5097194,pymupdf (cached),,120,85,86.0,verified,35,77,54864,39868,2022 Report to Congress on Supportive Services for Individuals with Autism,True
RTC-2023,report-to-congress,RTC,2023,full,False,report_to_congress_2023.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/report-to-congress/2023/report_to_congress_2023.pdf,https://iacc.hhs.gov/publications/report-to-congress/2023/report_to_congress_2023.pdf?ver=5,10065406,pymupdf (cached),,191,142,146.0,verified,49,136,84345,64945,Report to Congress on Activities Related to Autism Spectrum Disorder and Other Developmental Disabilities,True
SP-2009,strategic-plan,SP,2009,full,False,strategic_plan_2009.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/strategic-plan/2009/strategic_plan_2009.pdf,https://iacc.hhs.gov/publications/strategic-plan/2009/strategic_plan_2009.pdf,1362075,pymupdf (cached),,37,31,32.0,verified,6,25,13000,10423,The Interagency Autism Coordinating Committee Strategic Plan for Autism Spectrum Disorder Research,True
SP-2010,strategic-plan,SP,2010,full,False,strategic_plan_2010.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/strategic-plan/2010/strategic_plan_2010.pdf,https://iacc.hhs.gov/publications/strategic-plan/2010/strategic_plan_2010.pdf,1200959,pymupdf (cached),,60,50,51.0,verified,10,45,21353,16347,"The 2010 Interagency Autism Coordinating Committee Strategic Plan for Autism Spectrum Disorder Research - January 19, 20",True
SP-2011,strategic-plan,SP,2011,full,False,strategic_plan_2011.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/strategic-plan/2011/strategic_plan_2011.pdf,https://iacc.hhs.gov/publications/strategic-plan/2011/strategic_plan_2011.pdf,873800,pymupdf (cached),,105,85,86.0,verified,20,77,46605,36616,The lnteragency Autism Coordinating Committee: 2011 STRATEGIC PLAN for Autism Spectrum Disorder Research – January 2011,True
SP-2012,strategic-plan,SP,2012,full,False,strategic_plan_2012.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/strategic-plan/2012/strategic_plan_2012.pdf,https://iacc.hhs.gov/publications/strategic-plan/2012/strategic_plan_2012.pdf,1124880,pymupdf (cached),,76,55,,"unverified(before=76,after=76)",21,48,25595,18417,2012 Update IACC Strategic Plan for Autism Spectrum Disorder Research,True
SP-2013,strategic-plan,SP,2013,full,False,strategic_plan_2013.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/strategic-plan/2013/strategic_plan_2013.pdf,https://iacc.hhs.gov/publications/strategic-plan/2013/strategic_plan_2013.pdf,8358739,pymupdf (cached),,143,106,,"unverified(before=76,after=76)",37,1092,59930,42867,Strategic Plan for Autism Spectrum Disorder Research - 2013 Update,True
